CustomerID,CheckingAccountBalance,DebtsPaid,SavingsAccountBalance,CurrentOpenLoanApplications,LoanPayoffPeriodInMonths,LoanReason,RequestedAmount,InterestRate,Co-Applicant,WasTheLoanApproved,YearsAtCurrentEmployer,YearsInCurrentResidence,Age,RentOrOwnHome,TypeOfCurrentEmployment,NumberOfDependantsIncludingSelf
345,some,paid,none,1,24,auto,2760,4,none,Y,10+,4,36,free,skilled,1
243,some,delayed,some,1,12,goods,1424,4,none,Y,7,3,26,owned,skilled,1
662,debt,delayed,some,2,20,goods,4272,1,none,Y,10+,4,24,owned,skilled,1
102,none,paid,high,1,6,goods,2978,1,none,Y,4,2,32,owned,skilled,1
722,none,delayed,some,2,36,auto,6614,4,none,Y,10+,4,34,owned,self,1
316,none,paid,none,1,30,goods,1867,4,none,Y,10+,4,58,owned,skilled,1
236,none,delayed,none,2,30,goods,6742,2,none,Y,7,3,36,owned,skilled,1
572,debt,paid,some,1,36,auto,3249,2,none,Y,7,4,39,free,self,2
436,none,delayed,medium,2,24,goods,4151,2,none,Y,4,3,35,owned,skilled,1
338,none,delayed,none,2,48,busin,7629,4,none,Y,10+,2,46,owned,self,2
499,debt,paid,some,1,24,auto,2924,3,guarant,Y,4,4,63,owned,skilled,2
570,none,delayed,none,2,24,auto,6842,2,none,Y,4,4,46,owned,self,2
473,debt,paid,some,1,18,goods,2389,4,none,Y,1,1,27,owned,skilled,1
89,some,delayed,v.high,2,11,auto,1322,4,none,Y,4,4,40,owned,skilled,1
183,debt,paid,some,1,48,goods,3051,3,none,N,4,4,54,owned,skilled,1
222,debt,paid,some,1,12,auto,759,4,none,N,7,2,26,owned,skilled,1
289,debt,paid,some,1,12,goods,1657,2,none,Y,4,2,27,owned,skilled,1
165,none,delayed,some,2,30,goods,5771,4,none,Y,7,2,25,owned,skilled,1
268,debt,paid,some,1,24,auto,2303,4,co-app,N,10+,1,45,owned,skilled,1
218,debt,paid,some,1,15,auto,2511,1,none,Y,0,4,23,rent,skilled,1
327,none,delayed,some,2,6,auto,6761,1,none,Y,7,3,45,owned,self,2
283,high,delayed,some,1,6,goods,683,2,none,Y,1,1,29,owned,skilled,1
240,none,delayed,none,2,12,school,3565,2,none,Y,1,1,37,owned,unskill,2
189,high,delayed,some,1,42,auto,4796,4,none,Y,10+,4,56,free,skilled,1
259,none,paid,medium,1,9,goods,2753,3,co-app,Y,10+,4,35,owned,skilled,1
226,none,delayed,some,2,60,goods,15653,2,none,Y,7,4,21,owned,skilled,1
390,none,paid,none,2,28,auto,7824,3,guarant,Y,1,4,40,rent,skilled,2
434,none,delayed,none,1,7,goods,846,3,none,Y,10+,4,36,free,skilled,1
145,debt,paid,medium,1,12,goods,674,4,none,N,7,1,20,owned,skilled,1
617,none,paid,some,1,18,goods,2515,3,none,Y,4,4,43,owned,skilled,1
449,debt,paid,some,1,48,auto,3931,4,none,N,7,4,46,free,skilled,2
721,none,delayed,some,1,12,auto,1503,4,none,Y,4,4,41,rent,skilled,1
743,none,delayed,none,2,6,goods,1221,1,none,Y,4,2,27,owned,skilled,1
109,none,paid,none,1,60,auto,6527,4,none,Y,4,4,34,free,skilled,2
371,some,paid,medium,1,12,busin,1037,3,none,Y,7,4,39,owned,unskill,1
137,none,delayed,none,2,48,auto,2751,4,none,Y,10+,3,38,owned,skilled,2
730,some,paid,some,2,12,auto,1223,1,none,N,10+,1,46,rent,skilled,1
77,none,paid,high,1,21,auto,2782,1,none,Y,7,2,31,owned,self,1
98,some,paid,v.high,1,18,busin,1941,4,none,Y,4,2,35,owned,unskill,1
305,debt,delayed,some,2,42,goods,4370,3,none,N,7,2,26,owned,skilled,2
675,none,paid,some,1,18,repairs,1943,4,none,N,1,4,23,owned,skilled,1
134,some,paid,medium,1,18,busin,2622,4,none,Y,4,4,34,owned,skilled,1
442,none,delayed,some,3,9,auto,2134,4,none,Y,4,4,48,owned,skilled,1
285,none,paid,some,2,18,auto,6458,2,none,N,10+,4,39,owned,self,2
15,some,delayed,some,1,18,auto,884,4,none,N,10+,4,36,owned,skilled,2
563,none,delayed,some,1,12,school,2096,2,none,Y,7,3,49,owned,unskill,2
544,some,delayed,some,2,30,auto,4249,4,none,N,0,2,28,owned,self,1
86,debt,paid,some,1,12,goods,1620,2,co-app,Y,4,3,30,owned,skilled,1
474,debt,paid,some,1,24,goods,3552,3,none,N,7,4,27,owned,skilled,1
658,none,paid,high,1,39,auto,2569,4,none,Y,4,4,24,owned,skilled,1
635,some,paid,some,1,12,goods,625,4,guarant,Y,1,1,26,owned,unskill,1
383,some,paid,some,1,48,other,18424,1,none,N,4,2,32,owned,self,1
460,debt,delayed,some,1,12,auto,1409,4,none,Y,10+,3,54,owned,skilled,1
67,some,delayed,high,1,12,auto,2366,3,none,Y,7,3,36,owned,self,1
356,debt,delayed,some,2,42,repairs,3394,4,co-app,Y,0,4,65,owned,none,1
506,none,paid,high,1,12,auto,1386,2,none,N,4,2,26,owned,skilled,1
511,debt,paid,none,1,36,auto,8335,3,none,N,10+,4,47,free,skilled,1
440,debt,delayed,some,1,16,auto,2625,2,guarant,N,10+,4,43,rent,skilled,1
204,none,delayed,none,2,24,busin,2978,4,none,Y,4,4,32,owned,skilled,2
542,some,paid,v.high,1,12,goods,983,1,none,Y,1,4,19,rent,unskill,1
257,debt,delayed,some,2,6,auto,860,1,none,Y,10+,4,39,owned,skilled,1
650,none,paid,some,1,5,busin,3448,1,none,Y,7,4,74,owned,unskill,1
564,debt,delayed,some,2,10,auto,1038,4,co-app,Y,7,3,49,owned,skilled,1
596,none,delayed,some,2,18,auto,1055,4,none,Y,1,1,30,owned,skilled,1
707,none,delayed,some,2,18,goods,1800,4,none,Y,4,2,24,owned,skilled,1
677,debt,paid,some,1,12,goods,1107,2,none,Y,4,2,20,rent,self,2
528,some,paid,some,1,30,goods,3832,2,none,Y,1,1,22,owned,skilled,1
660,some,paid,some,2,12,goods,1155,3,guarant,Y,10+,3,40,owned,unskill,1
729,none,paid,medium,1,15,school,4623,3,none,N,4,2,40,owned,self,1
242,some,paid,some,1,18,goods,1113,4,guarant,Y,4,4,26,owned,unskill,2
433,none,paid,some,2,9,goods,1980,2,co-app,N,1,2,19,rent,skilled,1
446,debt,delayed,some,2,12,auto,2171,4,none,Y,4,4,38,owned,unskill,1
354,debt,paid,none,1,24,auto,1371,4,none,N,4,4,25,rent,skilled,1
293,some,paid,medium,1,15,repairs,2631,3,none,Y,4,2,25,owned,unskill,1
537,none,paid,none,1,36,school,9055,2,none,Y,4,4,35,free,unskill,2
591,none,delayed,medium,1,24,goods,2872,3,none,Y,10+,4,36,owned,skilled,2
358,debt,paid,none,1,12,goods,1262,2,none,Y,10+,4,49,owned,unskill,1
60,debt,paid,some,2,12,auto,697,4,none,N,1,2,46,owned,skilled,1
280,some,delayed,some,2,20,other,2629,2,none,Y,4,3,29,owned,skilled,1
176,none,paid,none,1,12,auto,2445,2,none,Y,1,4,26,rent,skilled,1
168,none,delayed,none,2,18,goods,1169,4,none,Y,4,3,29,owned,skilled,1
150,none,paid,none,1,18,goods,1126,4,none,Y,1,2,21,rent,skilled,1
549,debt,paid,high,1,12,goods,1680,3,none,Y,10+,1,35,owned,skilled,1
135,debt,paid,some,1,24,goods,1546,4,guarant,N,7,4,24,rent,unskill,1
279,debt,paid,none,1,24,auto,1381,4,none,N,4,2,35,owned,skilled,1
206,high,delayed,none,2,24,auto,1344,4,none,N,7,2,37,owned,unskill,2
477,some,paid,some,1,18,goods,3001,2,none,Y,7,4,40,rent,skilled,1
556,none,paid,some,2,18,busin,4165,2,none,N,4,2,36,owned,skilled,2
504,none,paid,none,1,30,auto,4811,2,none,Y,7,4,24,rent,unskill,1
609,none,delayed,v.high,2,36,auto,5711,4,none,Y,10+,2,38,owned,self,1
265,debt,paid,some,1,48,busin,7685,2,guarant,N,7,4,37,rent,skilled,1
706,debt,paid,some,1,12,goods,709,4,none,N,10+,4,57,owned,unskill,1
577,debt,paid,medium,1,24,goods,2359,1,none,N,0,1,33,owned,skilled,1
540,debt,paid,v.high,1,21,goods,3357,4,none,Y,1,2,29,owned,skilled,1
215,none,delayed,some,2,18,auto,1028,4,none,Y,4,3,36,owned,skilled,1
319,none,paid,some,1,24,goods,2284,4,none,Y,7,2,28,owned,skilled,1
373,debt,paid,some,1,21,goods,2606,4,none,Y,1,4,28,rent,self,1
341,debt,delayed,none,2,6,goods,1169,4,none,Y,10+,4,67,owned,skilled,1
481,debt,paid,medium,1,24,auto,2325,2,none,Y,7,3,32,owned,skilled,1
670,none,paid,medium,1,10,auto,2848,1,co-app,Y,4,2,32,owned,skilled,2
61,some,delayed,none,3,15,goods,2728,4,guarant,Y,7,2,35,owned,skilled,1
548,high,paid,some,1,12,busin,609,4,none,N,1,1,26,owned,none,1
48,high,paid,some,1,12,auto,1330,4,none,Y,1,1,26,owned,skilled,1
311,none,paid,some,1,36,auto,4686,2,none,Y,4,2,32,free,self,1
232,none,delayed,medium,2,6,goods,1237,1,none,Y,4,1,27,owned,skilled,1
35,debt,paid,some,1,6,school,1198,4,none,N,10+,4,35,free,skilled,1
217,some,paid,none,1,6,goods,368,4,none,Y,10+,4,38,owned,skilled,1
454,debt,paid,some,1,24,goods,1603,4,none,Y,10+,4,55,owned,skilled,1
112,none,delayed,none,1,36,goods,3342,4,none,Y,10+,2,51,owned,skilled,1
720,none,paid,none,1,36,auto,3079,4,none,Y,4,4,36,owned,skilled,1
380,some,paid,some,1,6,goods,484,3,guarant,Y,7,3,28,owned,unskill,1
636,some,paid,none,1,48,auto,8487,1,none,Y,7,2,24,owned,skilled,1
748,debt,delayed,some,2,36,busin,2145,2,none,N,7,1,24,owned,skilled,1
4,none,paid,high,1,9,auto,2507,2,none,Y,10+,4,51,free,unskill,1
508,none,delayed,some,3,12,goods,717,4,none,Y,10+,4,52,owned,skilled,1
425,some,paid,some,1,12,goods,1567,1,none,Y,4,1,22,owned,skilled,1
154,none,paid,some,1,10,auto,1546,3,none,Y,4,2,31,owned,unskill,2
569,none,delayed,high,2,24,busin,2375,4,none,Y,4,2,44,owned,skilled,2
130,none,paid,medium,1,9,goods,2301,2,none,Y,1,4,22,rent,skilled,1
163,debt,paid,some,1,15,busin,806,4,none,Y,4,4,22,owned,unskill,1
719,none,paid,none,1,48,goods,10222,4,none,Y,7,3,37,owned,skilled,1
278,some,delayed,medium,1,45,auto,4576,3,none,1,0,4,27,owned,skilled,1
519,high,paid,some,1,10,goods,1275,4,none,Y,1,2,23,owned,skilled,1
744,debt,paid,some,1,18,goods,1940,3,co-app,Y,1,4,36,free,self,1
567,none,paid,high,1,10,auto,1597,3,none,Y,4,2,40,rent,unskill,2
34,some,delayed,medium,1,48,other,7582,2,none,Y,0,4,31,free,self,1
525,none,delayed,some,2,18,auto,2775,2,none,N,7,2,31,owned,skilled,1
273,debt,paid,some,2,48,goods,7119,3,none,N,4,4,53,free,skilled,2
320,some,paid,some,1,12,goods,1331,2,none,N,1,1,22,owned,skilled,1
94,debt,paid,some,1,24,goods,3345,4,none,N,10+,2,39,rent,self,1
468,some,paid,some,1,9,goods,918,4,none,N,4,1,30,owned,skilled,1
616,none,delayed,high,1,21,busin,2580,4,none,N,1,2,41,owned,unskill,2
645,some,paid,some,2,48,goods,3060,4,none,N,7,4,28,owned,skilled,1
392,some,paid,some,1,9,goods,1670,4,none,N,1,2,22,owned,skilled,1
258,some,delayed,some,2,21,busin,3652,2,none,Y,7,3,27,owned,skilled,1
53,none,paid,some,1,12,school,719,4,none,N,10+,4,41,owned,unskill,2
245,debt,delayed,some,4,12,goods,385,4,none,Y,7,3,58,owned,unskill,1
133,some,delayed,some,1,24,goods,6403,1,none,Y,1,2,33,owned,skilled,1
718,none,paid,some,1,24,goods,1533,4,none,Y,1,3,38,owned,skilled,1
534,some,paid,none,1,36,auto,12389,1,none,N,4,4,37,free,skilled,1
318,some,delayed,none,2,24,busin,4712,4,none,Y,4,2,37,owned,self,1
166,some,paid,medium,2,21,busin,2767,4,none,N,10+,2,61,rent,unskill,1
594,none,paid,none,2,18,auto,6761,2,none,N,4,4,68,rent,skilled,1
211,some,paid,high,1,9,goods,790,4,none,Y,4,3,66,owned,unskill,1
199,debt,paid,some,1,24,auto,2910,2,none,Y,7,1,34,free,self,1
648,some,paid,some,1,24,goods,2039,1,none,N,1,1,22,owned,skilled,1
87,some,paid,v.high,2,48,goods,10961,1,co-app,N,7,2,27,owned,skilled,1
592,none,paid,none,1,12,auto,3527,2,none,Y,1,3,45,owned,self,2
76,debt,paid,some,1,18,auto,976,1,none,N,1,2,23,owned,unskill,1
397,none,paid,medium,1,15,auto,3812,1,none,Y,1,4,23,owned,skilled,1
583,some,delayed,none,2,20,auto,7057,3,none,Y,7,4,36,rent,self,2
351,high,paid,none,1,12,goods,1424,3,none,Y,10+,4,55,owned,self,1
530,debt,delayed,some,2,8,auto,3398,1,none,Y,7,4,39,owned,unskill,1
574,high,delayed,medium,2,6,auto,1323,2,none,Y,10+,4,28,owned,skilled,2
509,none,paid,some,1,24,auto,2670,4,none,Y,10+,4,35,owned,self,1
661,none,delayed,some,2,36,auto,3535,4,none,Y,7,4,37,owned,skilled,1
409,none,delayed,some,1,30,goods,5954,3,co-app,Y,7,2,38,owned,skilled,1
2,none,delayed,none,2,9,goods,3074,1,none,Y,4,2,33,owned,skilled,2
668,some,paid,some,2,12,goods,1092,4,guarant,Y,4,4,49,owned,skilled,1
365,some,paid,high,2,48,auto,8358,1,none,Y,1,1,30,owned,skilled,1
38,none,delayed,none,2,24,auto,2197,4,none,Y,7,4,43,owned,skilled,2
84,some,delayed,some,2,24,busin,1935,4,none,N,10+,4,31,owned,skilled,1
309,debt,delayed,some,1,24,goods,1024,4,none,N,1,4,48,owned,skilled,1
686,debt,delayed,some,2,12,auto,4843,3,co-app,N,10+,4,43,rent,skilled,1
505,some,paid,some,1,12,goods,1534,1,none,N,1,1,23,rent,skilled,1
190,none,paid,some,1,24,auto,2679,4,none,Y,1,1,29,owned,self,1
418,debt,delayed,some,2,12,auto,1526,4,none,Y,10+,4,66,free,self,1
379,debt,paid,some,1,12,goods,2214,4,none,Y,4,3,24,owned,unskill,1
342,some,paid,some,1,7,goods,2329,1,guarant,Y,1,1,45,owned,skilled,1
489,none,paid,some,1,12,goods,1493,4,none,Y,1,3,34,owned,skilled,2
614,none,delayed,some,2,4,goods,1503,2,none,Y,7,1,42,owned,unskill,2
620,none,delayed,none,1,60,auto,13756,2,none,Y,10+,4,63,free,self,1
580,none,paid,medium,2,24,goods,3621,2,none,N,10+,4,31,owned,skilled,1
68,debt,paid,v.high,2,30,goods,3622,4,none,Y,10+,4,57,rent,skilled,1
51,debt,paid,some,2,24,auto,1193,1,co-app,N,0,4,29,rent,none,1
5,none,delayed,some,2,18,goods,2238,2,none,Y,4,1,25,owned,skilled,1
742,some,paid,some,2,15,repairs,1308,4,none,Y,10+,4,38,owned,unskill,1
518,some,paid,v.high,1,6,school,433,4,none,N,1,2,24,rent,skilled,2
709,debt,paid,some,2,45,busin,11816,2,none,N,10+,4,29,rent,skilled,1
372,high,delayed,high,1,15,auto,2360,2,none,Y,4,2,36,owned,skilled,1
723,some,paid,some,1,9,auto,276,4,none,Y,4,4,22,rent,unskill,1
115,none,paid,none,2,24,goods,3105,4,none,Y,1,2,25,owned,skilled,1
736,none,delayed,some,1,18,busin,2169,4,none,N,4,2,28,owned,skilled,1
36,none,paid,medium,1,24,auto,1474,4,none,Y,1,3,33,owned,skilled,1
646,some,paid,some,1,18,auto,2779,1,none,Y,4,3,21,rent,skilled,1
571,debt,delayed,none,2,18,school,8471,1,none,Y,4,2,23,rent,skilled,1
391,some,delayed,none,2,15,goods,1537,4,guarant,Y,10+,4,50,owned,skilled,1
13,some,delayed,v.high,2,21,goods,2745,3,none,Y,7,2,32,owned,skilled,1
201,debt,paid,some,1,18,goods,2473,4,none,N,0,1,25,owned,none,1
715,none,delayed,none,1,12,goods,5801,2,none,Y,10+,4,49,rent,skilled,1
475,debt,paid,some,1,60,busin,7297,4,co-app,N,10+,4,36,rent,skilled,1
366,debt,paid,some,1,12,auto,1372,2,none,N,7,3,36,owned,skilled,1
512,none,paid,some,1,12,busin,1542,2,none,Y,7,4,36,owned,skilled,1
615,some,paid,some,1,48,busin,6416,4,none,N,10+,3,59,rent,skilled,1
325,none,paid,some,2,9,busin,1449,3,none,Y,7,2,27,owned,skilled,1
251,none,paid,high,1,15,auto,5324,1,none,Y,10+,4,35,free,skilled,1
343,none,delayed,high,1,12,goods,1402,3,none,Y,7,4,37,rent,skilled,1
287,some,paid,some,1,36,goods,4795,4,none,Y,1,1,30,owned,self,1
127,some,paid,none,1,30,goods,2991,2,none,Y,10+,4,25,owned,skilled,1
484,high,delayed,some,2,10,auto,781,4,none,Y,10+,4,63,free,skilled,1
466,some,paid,some,1,6,goods,2063,4,none,Y,1,3,30,rent,self,1
88,none,paid,none,1,10,school,894,4,none,Y,7,3,40,owned,skilled,1
181,debt,delayed,some,2,24,auto,6615,2,none,Y,0,4,75,free,self,1
157,none,delayed,some,2,11,auto,7228,1,none,Y,4,4,39,owned,unskill,1
300,some,delayed,some,1,36,auto,7432,2,none,Y,4,2,54,rent,skilled,1
389,none,delayed,some,2,24,school,1597,4,none,Y,10+,4,54,free,skilled,2
552,some,paid,none,2,48,goods,3979,4,none,Y,7,1,41,owned,skilled,2
653,debt,delayed,some,2,12,auto,691,4,none,N,10+,3,35,owned,skilled,1
326,none,paid,none,1,15,goods,2186,1,none,Y,7,4,33,rent,unskill,1
485,debt,paid,some,1,12,goods,1498,4,none,Y,4,1,23,owned,skilled,1
562,some,paid,some,1,12,school,1410,2,none,Y,4,2,31,owned,unskill,1
381,some,paid,medium,1,60,auto,7408,4,none,N,1,2,24,owned,self,1
727,none,delayed,some,2,36,busin,9572,1,none,N,1,1,28,owned,skilled,1
83,high,delayed,high,3,12,auto,1480,2,none,Y,0,4,66,free,none,1
31,none,delayed,v.high,2,18,goods,1582,4,none,Y,10+,4,46,owned,skilled,1
360,debt,paid,some,1,9,goods,1364,3,none,Y,7,4,59,owned,skilled,1
276,some,paid,none,1,12,auto,2028,4,none,Y,4,2,30,owned,skilled,1
586,debt,paid,some,1,18,goods,3509,4,guarant,Y,7,1,25,owned,skilled,1
269,debt,paid,some,1,36,auto,9271,2,none,N,7,1,24,owned,skilled,1
52,none,paid,none,1,10,auto,1309,4,guarant,N,4,4,27,owned,unskill,1
483,none,paid,none,1,15,goods,1979,4,none,Y,10+,2,35,owned,skilled,1
255,none,delayed,some,2,18,auto,1530,3,none,N,4,2,32,owned,skilled,1
654,none,paid,some,1,12,goods,3077,2,none,Y,4,4,52,owned,skilled,1
685,debt,paid,some,2,27,busin,5293,2,none,N,0,4,50,owned,skilled,1
262,debt,paid,some,1,48,busin,4308,3,none,N,1,4,24,rent,skilled,1
252,none,paid,none,1,21,goods,3160,4,none,Y,10+,3,41,owned,skilled,1
208,some,delayed,some,1,48,goods,5096,2,none,N,4,3,30,owned,self,1
546,some,paid,some,1,36,repairs,2384,4,none,N,1,1,33,rent,unskill,1
550,some,paid,some,1,8,busin,907,3,none,Y,1,2,26,owned,skilled,1
159,some,paid,some,1,8,goods,1414,4,guarant,Y,4,2,33,owned,skilled,1
205,none,paid,some,1,24,auto,1393,2,guarant,Y,4,2,31,owned,skilled,1
450,none,delayed,none,4,12,goods,930,4,none,Y,10+,4,65,owned,skilled,1
91,debt,paid,some,2,12,goods,6199,4,none,N,4,2,28,rent,skilled,1
369,debt,delayed,some,2,21,auto,1602,4,none,Y,10+,3,30,owned,skilled,1
348,none,paid,none,1,48,busin,3914,4,none,N,4,2,38,owned,skilled,1
501,debt,paid,some,1,30,auto,3857,4,none,Y,4,4,40,owned,self,1
264,some,delayed,some,1,36,goods,2337,4,none,Y,10+,4,36,owned,skilled,1
308,debt,delayed,some,2,60,busin,6836,3,none,N,10+,4,63,owned,skilled,1
131,debt,delayed,some,2,9,goods,1138,4,none,Y,4,4,25,owned,unskill,1
482,debt,delayed,some,2,36,auto,9629,4,none,N,7,4,24,owned,skilled,1
652,none,paid,none,1,12,auto,2390,4,none,Y,10+,3,50,owned,skilled,1
185,some,paid,some,1,48,goods,9960,1,none,N,1,2,26,owned,skilled,1
65,some,delayed,some,2,36,busin,4455,2,none,N,4,2,30,owned,self,1
687,debt,paid,none,1,24,goods,2996,2,none,N,4,4,20,owned,skilled,1
353,none,paid,high,1,24,goods,3430,3,none,Y,10+,2,31,owned,skilled,2
396,debt,paid,none,1,24,auto,2964,4,none,Y,10+,4,49,free,skilled,2
58,some,delayed,medium,2,30,goods,1919,4,none,N,1,3,30,owned,self,1
420,some,delayed,some,1,9,goods,1919,4,none,Y,7,3,35,rent,skilled,1
521,high,delayed,some,1,21,school,2319,2,none,N,1,1,33,rent,skilled,1
158,none,delayed,none,2,20,auto,3485,2,none,Y,1,4,44,owned,skilled,1
651,debt,delayed,some,2,24,auto,2957,4,none,Y,10+,4,63,owned,skilled,1
296,debt,paid,some,2,48,goods,6999,1,guarant,N,7,1,34,owned,skilled,1
41,none,paid,some,2,24,school,937,4,none,Y,1,3,27,owned,unskill,1
393,none,delayed,some,2,24,auto,2346,4,none,Y,7,3,35,owned,skilled,1
